,id,retweet_count,favorite_count
6272,890006608113172480,7414,30721
6273,889880896479866881,5018,27854
6274,889665388333682689,10165,48221
6275,889638837579907072,4590,27238
6276,889531135344209921,2256,15122
6277,889278841981685760,5484,25358
6278,888917238123831296,4546,29148
6279,888804989199671297,4387,25649
6280,888554962724278272,3619,19959
6281,888078434458587136,3529,21813
6282,887705289381826560,5445,30259
6283,887517139158093824,11776,46352
6284,887473957103951883,18417,69277
6285,887343217045368832,10508,33766
6286,887101392804085760,6017,30618
6287,886983233522544640,7839,35247
6288,886736880519319552,3330,12104
6289,886680336477933568,4512,22483
6290,886366144734445568,3214,21178
6291,886267009285017600,4,116
6292,886258384151887873,6361,28029
6293,886054160059072513,103,0
6294,885984800019947520,6877,32788
6295,885528943205470208,6504,36095
6296,885518971528720385,3799,20475
6297,885311592912609280,18764,0
6298,885167619883638784,4426,22004
6299,884925521741709313,18635,77745
6300,884876753390489601,5850,28001
6301,884562892145688576,4927,24355
6302,884441805382717440,5713,27058
6303,884247878851493888,20650,73197
6304,884162670584377345,3023,20430
6305,883838122936631299,3483,21959
6306,883482846933004288,10067,46055
6307,883360690899218434,3725,22615
6308,883117836046086144,6742,37311
6309,882992080364220416,3969,24008
6310,882762694511734784,4980,28387
6311,882627270321602560,6165,27943
6312,882268110199369728,11741,45084
6313,882045870035918850,5045,29441
6314,881906580714921986,3431,24361
6315,881666595344535552,10803,50674
6316,881633300179243008,7,128
6317,881536004380872706,16170,49600
6318,881268444196462592,5204,23126
6319,880935762899988482,2810,17050
6320,880872448815771648,3861,21354
6321,880465832366813184,6361,28595
6322,880221127280381952,4281,27155
6323,880095782870896641,4404,27687
6324,879862464715927552,3537,22359
6325,879674319642796034,10,314
6326,879492040517615616,3221,23463
6327,879415818425184262,44704,106201
6328,879376492567855104,3154,16802
6329,879130579576475649,6933,0
6330,879050749262655488,4774,22651
6331,879008229531029506,2728,19017
6332,878776093423087618,4179,19423
6333,878604707211726852,7340,30376
6334,878404777348136964,1309,0
6335,878316110768087041,6744,0
6336,878281511006478336,1309,7774
6337,878057613040115712,6933,42169
6338,877736472329191424,19445,80250
6339,877611172832227328,81,0
6340,877556246731214848,3881,22841
6341,877316821321428993,5254,27439
6342,877201837425926144,5681,27231
6343,876838120628539392,3410,20745
6344,876537666061221889,4678,23519
6345,876484053909872640,2436,18830
6346,876120275196170240,4770,28025
6347,875747767867523072,4361,25291
6348,875144289856114688,5003,22004
6349,875097192612077568,6143,27519
6350,875021211251597312,4792,25579
6351,874680097055178752,4720,27966
6352,874434818259525634,15045,0
