tweet_id,retweet_count,favorite_count
877556246731214848,3882,22841
877316821321428993,5255,27440
877201837425926144,5682,27232
876838120628539392,3411,20745
876537666061221889,4679,23519
876484053909872640,2436,18832
876120275196170240,4770,28026
875747767867523072,4362,25291
875144289856114688,5004,22006
875097192612077568,6144,27520
875021211251597312,4793,25579
874680097055178752,4721,27966
874434818259525634,15048,0
874296783580663808,4189,26174
874057562936811520,4026,22759
874012996292530176,10661,34871
873580283840344065,4024,24382
873337748698140672,1619,0
873213775632977920,1619,7308
872967104147763200,5509,27554
872820683541237760,3772,14810
872668790621863937,28,0
872620804844003328,3785,20925
872486979161796608,9197,40973
872261713294495745,6471,34485
872122724285648897,8306,34701
871879754684805121,11484,38347
871762521631449091,3560,20431
871515927908634625,3535,20391
871166179821445120,5823,0
871102520638267392,5613,21102
871032628920680449,3895,22863
870804317367881728,6378,33978
870726314365509632,3,120
870656317836468226,2720,12563
870374049280663552,26942,83567
870308999962521604,4265,22059
870063196459192321,8593,37095
869772420881756160,10342,42919
869702957897576449,6515,28595
869596645499047938,3225,16190
869227993411051520,3908,20713
868880397819494401,14974,66554
868639477480148993,2166,0
868622495443632128,5955,27635
868552278524837888,2166,10332
867900495410671616,4319,24552
867774946302451713,7578,34532
867421006826221569,2605,16439
867072653475098625,131,0
867051520902168576,8165,32803
866720684873056260,5013,20469
866686824827068416,3621,19710
866450705531457537,36589,124525
866334964761202691,15048,53660
866094527597207552,8688,0
865718153858494464,5826,26124
865359393868664832,5212,27034
865006731092295680,7988,28579
864873206498414592,9101,33017
864279568663928832,3177,14940
864197398364647424,9354,30859
863907417377173506,4319,21093
863553081350529029,4350,15641
863471782782697472,2586,0
863432100342583297,5516,24348
863427515083354112,101,2313
863079547188785154,1151,8955
863062471531167744,2586,8756
862831371563274240,5309,19652
862722525377298433,3702,17497
862457590147678208,5199,21071
862096992088072192,24407,76586
861383897657036800,11215,37026
861288531465048066,4372,17660
861005113778896900,3998,17181
860981674716409858,2264,0
860924035999428608,855,0
860563773140209665,2264,7717
860524505164394496,5539,24256
860276583193509888,3648,18807
860184849394610176,6140,17164
860177593139703809,32439,0
859924526012018688,4302,20102
859851578198683649,3678,15836
859607811541651456,1654,19131
859196978902773760,31829,92750
859074603037188101,14320,34945
858860390427611136,8559,0
858843525470990336,3659,16025
858471635011153920,5095,22182
858107933456039936,3066,16228
857989990357356544,2723,16633
857746408056729600,11198,35367
857393404942143489,1721,6116
857263160327368704,4780,20655
857214891891077121,20,238
857062103051644929,179,0
857029823797047296,4231,19566
856602993587888130,11316,0
856543823941562368,3051,16856
856526610513747968,1993,12229
856330835276025856,717,0
856288084350160898,17,535
856282028240666624,6686,28632
855862651834028034,28,362
855860136149123072,1098,5119
855857698524602368,2247,12257
855851453814013952,18733,47075
855818117272018944,5778,27564
855459453768019968,8747,31096
855245323840757760,6358,0
855138241867124737,49,0
854732716440526848,6504,23752
854482394044301312,7351,30534
854365224396361728,5013,19672
854120357044912130,8008,33279
854010172552949760,3356,16868
853760880890318849,6211,29850
853639147608842240,10887,36470
853299958564483072,3820,16228
852936405516943360,2171,0
852912242202992640,1977,9461
852672615818899456,2307,15624
852553447878664193,3776,17160
852311364735569921,10651,34711
852226086759018497,7354,20965
852189679701164033,1701,12009
851953902622658560,10392,0
851861385021730816,23,0
851591660324737024,3733,17009
851464819735769094,7625,25493
851224888060895234,6180,21707
850753642995093505,10051,32683
850380195714523136,2823,13728
850333567704068097,361,3590
850145622816686080,4133,17188
850019790995546112,5308,21551
849776966551130114,8236,32094
849668094696017920,5379,0
849412302885593088,3395,16733
849336543269576704,2047,12051
849051919805034497,9253,44752
848690551926992896,4682,26620
848324959059550208,4998,26150
848213670039564288,813,8637
848212111729840128,3344,17277
847978865427394560,3541,0
847971574464610304,467,0
847962785489326080,5566,24822
847842811428974592,1467,5810
847617282490613760,456,7420
847606175596138505,3672,19832
847251039262605312,4655,21616
847157206088847362,6371,21160
847116187444137987,3473,22682
846874817362120707,4278,21272
846514051647705089,12651,47380
846505985330044928,3378,14997
846153765933735936,9877,33682
846139713627017216,10713,32679
846042936437604353,3141,16956
845812042753855489,9551,31096
845677943972139009,5218,26639
845397057150107648,1993,8092
845306882940190720,5879,24761
845098359547420673,8392,0
844979544864018432,2829,14473
844973813909606400,3516,16075
844704788403113984,11316,41196
844580511645339650,3428,17507
844223788422217728,2397,14483
843981021012017153,3196,16046
843856843873095681,5066,22763
843604394117681152,2993,17958
843235543001513987,6629,22871
842846295480000512,3923,16176
842765311967449089,1401,7185
842535590457499648,3831,19258
842163532590374912,6358,26104
842115215311396866,3312,14927
841833993020538882,16915,0
841680585030541313,8503,27309
841439858740625411,4037,13480
841320156043304961,5951,21053
841314665196081154,5166,16949
841077006473256960,5823,24457
840761248237133825,1926,0
840728873075638272,17785,0
840698636975636481,3,195
840696689258311684,1086,13133
840632337062862849,1926,9584
840370681858686976,5012,17586
840268004936019968,6303,20585
839990271299457024,2531,14352
839549326359670784,8559,29429
839290600511926273,155,0
839239871831150596,7208,29083
838952994649550848,4391,20980
838921590096166913,2285,11947
838916489579200512,37,0
838831947270979586,12218,0
838561493054533637,1465,11668
838476387338051585,5320,24212
838201503651401729,11177,0
838150277551247360,358,1794
